n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16 n17 n18 n19 n20
18	20	171	191	510	415	417	170	165	311	313	461	532	414	476	192	17	564	163	477
512	302	3	327	478	264	248	309	641	513	508	462	632	459	251	368	32	244	631	98
177	522	330	136	102	104	137	107	329	84	103	339	525	338	105	337	139	537	341	332
339	521	104	331	525	103	139	330	177	152	342	522	136	526	523	520	329	516	160	524
210	209	211	208	439	581	373	437	173	578	142	284	464	196	122	579	646	580	619	655
663	495	357	514	294	636	493	241	293	292	204	185	184	509	515	98	492	436	309	359
359	509	249	515	479	570	293	447	168	206	25	514	294	564	477	188	167	357	476	5
563	562	101	308	260	15	49	261	52	164	622	565	634	242	259	243	310	205	250	4
13	16	397	324	263	555	250	552	319	624	245	164	572	205	265	300	143	622	481	623
522	129	177	329	330	104	130	339	155	102	338	521	525	154	337	103	107	331	84	524
102	341	107	84	105	332	473	129	537	419	177	337	522	472	330	318	338	158	86	104
158	420	289	1	537	86	213	84	105	441	107	291	108	214	87	473	406	106	378	288
103	342	104	331	130	525	339	523	107	330	84	158	441	537	177	129	521	518	526	522
286	467	595	393	556	287	149	644	392	12	11	256	202	391	482	481	205	405	164	552
383	403	181	70	69	317	498	435	228	496	323	384	350	303	51	72	499	267	605	183
196	273	655	429	581	437	464	172	122	439	471	284	173	336	580	224	432	483	197	579
245	572	202	552	263	319	481	623	393	555	13	135	397	250	16	205	164	324	322	392
121	527	275	203	345	465	174	349	38	305	400	650	362	502	440	401	558	276	238	375
452	238	399	401	402	433	469	607	305	450	449	222	610	37	353	237	558	413	375	349
200	78	372	236	40	546	29	41	21	274	79	382	574	182	348	201	553	582	234	76
201	382	413	558	305	37	200	465	527	401	238	402	76	175	79	349	433	121	274	582
179	491	55	62	418	2	85	59	0	626	53	75	66	321	60	489	74	109	614	281
644	256	562	630	563	15	52	101	164	205	242	134	49	250	369	603	308	552	565	300
48	47	46	269	271	270	268	668	68	667	252	320	423	659	517	516	519	518	422	83
46	48	47	269	271	270	268	668	68	667	252	320	423	659	517	519	83	516	518	526
520	160	521	526	519	339	331	525	516	130	524	523	104	342	103	329	517	139	136	518
82	484	485	486	487	161	338	337	329	136	652	522	129	364	177	419	330	318	454	332
524	329	521	339	136	160	520	130	522	519	330	177	525	129	104	331	526	82	80	103
329	524	136	339	521	160	522	130	177	520	129	330	525	104	82	519	331	338	526	103
606	30	544	43	596	648	36	220	63	586	22	347	361	597	571	112	451	598	279	628
22	307	44	651	352	113	355	110	119	33	628	451	440	362	598	276	38	571	400	67
138	537	84	86	107	105	289	1	473	420	341	213	441	139	103	137	108	106	102	378
536	543	61	657	333	334	306	534	533	649	421	588	290	304	627	669	335	219	490	279
152	520	519	521	524	526	339	516	525	331	130	154	523	155	104	329	342	517	103	136
82	153	485	487	475	484	155	154	80	486	114	329	136	338	524	337	652	522	129	177
194	457	313	169	461	188	166	564	170	28	9	415	510	367	167	168	311	50	18	532
367	50	188	564	170	461	18	414	510	17	417	311	127	477	313	415	368	20	191	249
205	250	552	555	300	15	397	263	13	16	135	49	562	644	245	324	308	143	481	134
170	311	461	564	414	510	188	17	367	477	18	476	191	415	127	532	417	249	25	50
461	313	532	415	162	457	170	188	6	510	28	564	194	311	476	165	249	9	169	447
28	447	530	457	389	358	206	100	570	169	359	162	133	5	529	188	633	249	193	194
28	447	457	133	249	359	530	358	461	188	564	389	206	570	532	479	476	311	162	170
457	194	28	9	162	530	167	358	193	529	100	389	166	447	567	168	99	247	188	313
510	165	461	311	415	18	564	191	476	414	532	188	127	17	477	367	313	417	166	20
